"","site_id","timestamp","building_id","meter_reading","primary_use","square_feet","air_temperature","cloud_coverage","dew_temperature","sea_level_pressure","wind_direction","wind_speed"
"12",10,"2016-01-02",1009,28.3218571428571,"Education",21892,-10.075,0.19047619047619,-16.1583333333333,1032.00416666667,237.727272727273,2.41666666666667
"20",10,"2016-01-02",1008,6.09806666666667,"Education",74420,-10.075,0.19047619047619,-16.1583333333333,1032.00416666667,237.727272727273,2.41666666666667
"22",10,"2016-01-02",1012,39.7847291666667,"Education",23112,-10.075,0.19047619047619,-16.1583333333333,1032.00416666667,237.727272727273,2.41666666666667
"24",10,"2016-01-03",1008,6.09806666666667,"Education",74420,-6.91666666666667,0.333333333333333,-12.1208333333333,1028.55,245.416666666667,1.725
"26",10,"2016-01-03",1011,251.986104166667,"Education",65144,-6.91666666666667,0.333333333333333,-12.1208333333333,1028.55,245.416666666667,1.725
"28",10,"2016-01-03",1000,262.484916666667,"Education",121146,-6.91666666666667,0.333333333333333,-12.1208333333333,1028.55,245.416666666667,1.725
"32",10,"2016-01-03",1009,17.7062739130435,"Education",21892,-6.91666666666667,0.333333333333333,-12.1208333333333,1028.55,245.416666666667,1.725
"33",10,"2016-01-03",1012,18.8857625,"Education",23112,-6.91666666666667,0.333333333333333,-12.1208333333333,1028.55,245.416666666667,1.725
"35",10,"2016-01-04",1008,6.09805833333333,"Education",74420,-5.27916666666667,0.8,-9.3625,1020.72916666667,126.086956521739,1.17916666666667
"36",10,"2016-01-04",1012,85.3692583333333,"Education",23112,-5.27916666666667,0.8,-9.3625,1020.72916666667,126.086956521739,1.17916666666667
"37",10,"2016-01-04",1009,17.39975,"Education",21892,-5.27916666666667,0.8,-9.3625,1020.72916666667,126.086956521739,1.17916666666667
"47",10,"2016-01-07",1009,9.53869583333333,"Education",21892,0.716666666666667,3.75,0.466666666666667,1006.84782608696,143.75,1.725
"48",10,"2016-01-07",1012,63.8951708333333,"Education",23112,0.716666666666667,3.75,0.466666666666667,1006.84782608696,143.75,1.725
"49",10,"2016-01-07",1011,268.4745625,"Education",65144,0.716666666666667,3.75,0.466666666666667,1006.84782608696,143.75,1.725
"52",10,"2016-01-07",1008,6.09806666666667,"Education",74420,0.716666666666667,3.75,0.466666666666667,1006.84782608696,143.75,1.725
"54",10,"2016-01-07",1021,96.199475,"Entertainment/public assembly",213762,0.716666666666667,3.75,0.466666666666667,1006.84782608696,143.75,1.725
"56",10,"2016-01-08",1021,2.58830833333333,"Entertainment/public assembly",213762,-0.0791666666666667,2,-1.22083333333333,1010.06818181818,205,1.90833333333333
"61",10,"2016-01-08",1009,6.99827916666667,"Education",21892,-0.0791666666666667,2,-1.22083333333333,1010.06818181818,205,1.90833333333333
"65",10,"2016-01-08",1008,6.09520416666667,"Education",74420,-0.0791666666666667,2,-1.22083333333333,1010.06818181818,205,1.90833333333333
"66",10,"2016-01-08",1012,94.3327625,"Education",23112,-0.0791666666666667,2,-1.22083333333333,1010.06818181818,205,1.90833333333333
"67",10,"2016-01-09",1008,6.09806666666667,"Education",74420,-1.45833333333333,1.33333333333333,-3.4875,1019.80833333333,112.608695652174,1.09166666666667
"69",10,"2016-01-09",1012,56.5613541666667,"Education",23112,-1.45833333333333,1.33333333333333,-3.4875,1019.80833333333,112.608695652174,1.09166666666667
"72",10,"2016-01-09",1011,167.526925,"Education",65144,-1.45833333333333,1.33333333333333,-3.4875,1019.80833333333,112.608695652174,1.09166666666667
"76",10,"2016-01-09",1009,10.6891375,"Education",21892,-1.45833333333333,1.33333333333333,-3.4875,1019.80833333333,112.608695652174,1.09166666666667
"81",10,"2016-01-11",1009,10.5932875,"Education",21892,-6.30833333333333,0.363636363636364,-10.5291666666667,1030.92916666667,159.583333333333,2.95833333333333
"85",10,"2016-01-11",1012,124.770475,"Education",23112,-6.30833333333333,0.363636363636364,-10.5291666666667,1030.92916666667,159.583333333333,2.95833333333333
"87",10,"2016-01-11",1008,6.1062125,"Education",74420,-6.30833333333333,0.363636363636364,-10.5291666666667,1030.92916666667,159.583333333333,2.95833333333333
"91",10,"2016-01-12",1012,105.405533333333,"Education",23112,-7.75,0.0833333333333333,-12.0083333333333,1033.77916666667,168.333333333333,3.36666666666667
"92",10,"2016-01-12",1008,6.08943333333333,"Education",74420,-7.75,0.0833333333333333,-12.0083333333333,1033.77916666667,168.333333333333,3.36666666666667
"96",10,"2016-01-12",1009,13.7002090909091,"Education",21892,-7.75,0.0833333333333333,-12.0083333333333,1033.77916666667,168.333333333333,3.36666666666667
